,NeutrinoEnergy,RecoE
542,1337.000,1405.598
543,1214.000,1214.005
544,935.000,935.021
545,1014.000,1013.997
546,957.000,956.796
547,1414.000,1425.669
548,1633.000,1633.009
549,1309.000,1562.119
550,1009.000,1009.001
551,922.000,961.728
552,1284.000,1149.958
553,1430.000,1429.943
554,1457.000,1386.226
555,767.000,766.951
556,1076.000,594.377
557,672.000,811.135
558,1194.000,1280.477
559,764.000,772.811
560,609.000,609.591
561,692.000,691.634
562,1053.000,828.089
563,1188.000,1188.000
564,680.000,679.813
565,619.000,618.992
566,711.000,752.767
567,798.000,798.158
568,837.000,837.662
569,861.000,816.477
570,1660.000,1660.020
571,893.000,892.738
572,1462.000,1410.676
573,1129.000,915.354
574,1077.000,1147.025
575,831.000,830.893
576,682.000,913.921
577,597.000,652.013
578,1489.000,895.803
579,1021.000,759.381
580,445.000,445.168
581,930.000,987.778
582,708.000,821.706
583,1228.000,1329.380
584,1251.000,829.814
585,1050.000,993.809
586,484.000,483.723
587,894.000,894.020
588,980.000,1010.970
589,1473.000,1473.004
590,930.000,955.778
591,1208.000,1108.388
592,1302.000,1302.210
593,1343.000,1228.064
594,728.000,845.467
595,917.000,1442.678
596,1431.000,1742.117
597,1231.000,1160.847
598,1771.000,1658.178
599,1473.000,1559.144
600,915.000,679.952
601,1095.000,1129.637
602,1629.000,1665.454
603,1680.000,1573.361
604,940.000,836.914
605,1232.000,1534.272
606,993.000,1096.187
607,917.000,924.189
608,1122.000,811.847
609,1669.000,1451.608
610,818.000,918.957
611,1813.000,1728.416
612,879.000,889.266
613,791.000,789.992
614,694.000,710.594
615,818.000,845.248
616,1055.000,1045.770
617,1510.000,1410.437
618,947.000,976.001
619,1071.000,1113.819
620,816.000,844.966
621,866.000,865.758
622,428.000,547.139
623,721.000,739.092
624,825.000,812.582
625,956.000,1127.559
626,1869.000,1457.926
627,915.000,885.790
628,902.000,919.088
629,841.000,914.036
630,834.000,913.673
631,731.000,878.946
632,962.000,950.776
633,1533.000,1450.919
634,1650.000,1397.083
635,1239.000,1251.218
636,1575.000,1640.926
637,1298.000,1140.447
638,1425.000,1257.483
639,993.000,896.881
640,1183.000,1158.597
641,1186.000,1159.262
642,648.000,689.638
643,1226.000,1247.355
644,941.000,1006.849
645,746.000,826.256
646,728.000,785.389
647,1289.000,1428.489
648,1102.000,1101.573
649,980.000,1056.538
650,1390.000,1508.571
651,1195.000,1267.034
652,1181.000,1191.734
653,971.000,972.423
654,510.000,596.834
655,817.000,858.655
656,1019.000,999.633
657,996.000,955.510
658,1444.000,1444.876
659,695.000,789.973
660,589.000,716.005
661,1029.000,1164.653
662,1230.000,1288.146
663,465.000,739.259
664,1544.000,1106.854
665,981.000,987.414
666,686.000,758.130
667,871.000,820.649
668,1104.000,1181.264
669,1229.000,1254.384
670,1101.000,1025.616
671,923.000,959.503
672,646.000,704.006
673,706.000,854.666
674,1124.000,1131.464
675,886.000,896.154
676,811.000,878.902
677,1094.000,1069.572
678,1255.000,1235.196
679,863.000,944.823
680,1376.000,1393.793
681,661.000,754.342
682,782.000,911.725
683,693.000,693.000
684,720.000,720.058
685,1116.000,1040.691
686,1957.000,1939.834
687,698.000,794.181
688,1618.000,1308.227
689,1237.000,1216.825
690,1290.000,1290.044
691,873.000,873.367
692,806.000,852.663
693,785.000,872.664
694,1969.000,1461.870
695,471.000,471.000
696,914.000,983.400
697,768.000,778.752
698,808.000,1143.431
699,1032.000,1031.552
700,1106.000,1106.204
701,1502.000,1496.627
702,1718.000,1714.234
703,1286.000,1286.096
704,1446.000,1278.672
705,1709.000,1543.978
706,783.000,783.026
707,1688.000,1623.334
708,1407.000,1407.000
709,867.000,866.978
710,951.000,950.963
711,724.000,724.000
712,738.000,738.182
713,1348.000,1347.906
714,1282.000,1282.178
715,1653.000,1073.988
716,927.000,926.950
717,1063.000,1063.000
718,1133.000,1133.061
719,1878.000,1873.477
720,1065.000,1064.984
721,1522.000,1522.001
722,938.000,937.953
723,626.000,625.967
724,1184.000,1295.930
725,765.000,838.232
726,866.000,757.473
727,814.000,955.176
728,907.000,1102.894
729,1153.000,1139.289
730,936.000,889.159
731,786.000,785.955
732,898.000,897.964
733,575.000,748.144
734,1051.000,1051.024
735,1242.000,1248.349
736,1066.000,1088.538
737,528.000,529.715
738,1197.000,1197.000
739,1796.000,1608.360
740,1864.000,1534.085
741,1260.000,1390.471
742,913.000,995.240
743,1601.000,1601.000
744,1141.000,1141.880
745,1269.000,1269.006
746,1242.000,1242.000
747,699.000,933.150
748,1467.000,1467.169
749,1635.000,1624.628
750,1801.000,1202.669
751,1468.000,1468.118
752,875.000,962.406
753,1007.000,1052.638
754,1424.000,1570.841
755,728.000,739.687
756,1704.000,1590.067
757,1127.000,1127.051
758,803.000,826.336
759,777.000,852.460
760,1681.000,1733.896
761,1012.000,1064.333
762,680.000,833.347
763,1210.000,1209.926
764,1201.000,1154.996
765,744.000,743.976
766,719.000,778.966
767,1252.000,1317.231
768,724.000,871.960
769,1376.000,1375.280
770,1076.000,1292.428
771,839.000,887.244
772,1293.000,1293.048
773,1006.000,928.153
774,1462.000,822.906
775,995.000,995.229
776,816.000,816.002
777,765.000,811.511
778,1420.000,1024.343
779,965.000,687.230
780,1767.000,1669.044
781,787.000,848.963
782,937.000,819.269
783,963.000,880.173
784,1413.000,1374.560
785,818.000,817.983
786,1563.000,1563.013
787,1288.000,1287.997
788,1487.000,1540.984
789,637.000,739.255
790,635.000,739.713
791,798.000,797.974
792,1881.000,1512.646
793,791.000,849.817
794,1082.000,1082.144
795,960.000,960.008
796,823.000,822.680
797,1144.000,1144.021
798,1194.000,1194.000
799,728.000,709.975
800,1481.000,1481.057
801,1263.000,1177.536
802,1143.000,1143.056
803,919.000,979.318
804,577.000,664.273
805,1405.000,1405.009
806,943.000,942.990
807,788.000,788.851
808,822.000,869.801
809,700.000,764.631
810,836.000,836.310
811,863.000,941.050
812,1303.000,1302.990
813,873.000,671.902
814,606.000,694.842
815,1438.000,1438.367
816,1159.000,1240.601
817,734.000,717.706
818,1132.000,1132.119
819,1941.000,1484.372
820,745.000,880.192
821,1174.000,1248.875
822,1020.000,1050.581
823,770.000,769.914
824,1452.000,1377.461
825,1152.000,1152.000
826,706.000,706.000
827,725.000,725.000
828,766.000,778.685
829,1399.000,1410.946
830,736.000,800.068
831,1256.000,815.167
832,803.000,803.000
833,595.000,595.684
834,1014.000,812.058
835,805.000,804.972
836,1906.000,1904.676
837,1337.000,1405.598
838,710.000,710.003
839,1148.000,1147.881
840,744.000,744.401
841,661.000,660.995
842,1357.000,1356.999
843,1414.000,1425.669
844,730.000,730.052
845,896.000,895.995
846,1186.000,1157.888
847,687.000,686.954
848,1632.000,1632.174
849,1309.000,1562.119
850,922.000,961.728
851,1284.000,1149.958
852,1211.000,1211.022
853,909.000,908.988
854,1148.000,1147.975
855,821.000,820.889
856,1457.000,1386.226
857,938.000,938.171
858,985.000,985.000
859,1076.000,594.377
860,1482.000,1481.999
861,672.000,811.135
862,1194.000,1280.477
863,966.000,966.017
864,1533.000,1424.776
865,856.000,855.789
866,1473.000,1473.003
867,1148.000,1148.021
868,1325.000,1281.243
869,1053.000,828.089
870,1017.000,1017.008
871,1608.000,1608.000
872,1833.000,1833.122
873,711.000,752.767
874,951.000,950.963
875,861.000,816.477
876,1462.000,1410.676
877,1129.000,915.354
878,1077.000,1147.025
879,682.000,913.921
880,597.000,652.013
881,1489.000,895.803
882,1021.000,759.381
883,930.000,987.778
884,708.000,821.706
885,1228.000,1329.380
886,600.000,606.778
887,728.000,727.949
888,1251.000,829.814
889,1050.000,993.809
890,980.000,1010.970
891,1951.000,1942.478
892,930.000,955.778
893,1208.000,1108.388
894,704.000,703.926
895,1343.000,1228.064
896,728.000,845.467
897,1069.000,1069.010
898,917.000,1442.678
899,1431.000,1742.117
900,1231.000,1152.967
901,1473.000,1608.185
902,1092.000,1127.684
903,1095.000,1144.725
904,1680.000,1592.564
905,940.000,841.936
906,1232.000,1456.233
907,993.000,1004.523
908,1426.000,1437.908
909,1122.000,825.518
910,1036.000,1057.594
911,818.000,907.259
912,893.000,911.490
913,1042.000,1121.341
914,744.000,743.363
915,1055.000,1047.059
916,1316.000,1346.885
917,947.000,975.924
918,1612.000,1583.785
919,1116.000,1030.395
920,866.000,857.193
921,1575.000,1534.505
922,428.000,556.244
923,1138.000,921.593
924,709.000,677.041
925,956.000,1059.109
926,1869.000,1557.876
927,915.000,902.875
928,841.000,869.597
929,731.000,864.467
930,827.000,919.234
931,1251.000,1267.677
932,1378.000,1244.213
933,1112.000,1147.863
934,1298.000,980.493
935,993.000,940.616
936,506.000,584.424
937,1118.000,1136.919
938,911.000,959.990
939,545.000,743.524
940,1226.000,1264.852
941,941.000,963.259
942,1289.000,1393.052
943,1390.000,1524.883
944,967.000,794.329
945,510.000,631.241
946,817.000,900.058
947,738.000,739.317
948,1444.000,1389.420
949,634.000,704.269
950,832.000,872.173
951,695.000,795.624
952,589.000,715.323
953,1029.000,1138.581
954,737.000,794.014
955,566.000,637.988
956,1255.000,1191.529
957,1096.000,1127.080
958,967.000,1014.002
959,465.000,725.029
960,988.000,1015.383
961,717.000,724.202
962,686.000,757.281
963,624.000,652.683
964,773.000,803.521
965,1101.000,1030.146
966,1015.000,1028.699
967,706.000,845.485
968,1124.000,1147.754
969,752.000,733.989
970,569.000,601.092
971,601.000,621.593
972,1449.000,1492.996
973,1288.000,1249.136
974,772.000,792.846
975,863.000,957.255
976,782.000,902.144
977,1358.000,1485.811
978,1243.000,769.208
979,1224.000,1148.355
980,1370.000,1394.259
981,991.000,1133.235
982,1361.000,975.394
983,1002.000,966.077
984,736.000,801.864
985,679.000,779.252
986,919.000,832.091
987,1530.000,1212.446
988,634.000,733.158
989,764.000,793.939
990,1921.000,1663.165
991,1066.000,978.235
992,748.000,793.403
993,831.000,940.794
994,705.000,685.272
995,840.000,957.896
996,1219.000,1123.832
997,529.000,584.835
998,1051.000,887.316
999,517.000,696.084
1000,1392.000,1174.132
1001,1006.000,1083.017
1002,919.000,974.950
1003,963.000,1225.836
1004,1058.000,985.875
1005,799.000,714.221
1006,792.000,857.044
1007,920.000,908.201
1008,685.000,848.587
1009,1685.000,902.931
1010,766.000,783.345
1011,745.000,821.548
1012,836.000,799.197
1013,1428.000,1425.380
1014,1204.000,1234.378
1015,1346.000,758.585
1016,711.000,781.105
1017,1036.000,1062.991
1018,1018.000,1132.113
1019,877.000,1008.795
1020,853.000,872.722
1021,1059.000,1086.001
1022,1012.000,1002.658
1023,921.000,1057.864
1024,994.000,1211.123
1025,668.000,931.083
1026,1363.000,1560.673
1027,1083.000,1133.918
1028,856.000,920.129
1029,1166.000,1109.721
1030,1617.000,1261.322
1031,979.000,954.135
1032,1370.000,1176.888
1033,1245.000,1246.701
1034,835.000,911.221
1035,477.000,623.225
1036,763.000,1021.484
1037,893.000,999.710
1038,988.000,978.220
1039,1699.000,885.456
1040,1080.000,953.560
1041,1214.000,1228.164
1042,988.000,868.100
1043,1257.000,1371.135
1044,1610.000,1621.105
1045,777.000,777.347
1046,1137.000,1100.786
1047,686.000,733.937
1048,826.000,917.628
1049,735.000,783.001
1050,1283.000,1259.857
1051,600.000,759.203
1052,1119.000,1023.038
1053,888.000,946.267
1054,1473.000,1164.986
1055,722.000,756.524
1056,925.000,958.358
1057,1007.000,961.795
1058,1293.000,817.122
1059,830.000,764.476
1060,667.000,716.950
1061,970.000,844.802
1062,854.000,830.964
1063,714.000,698.252
1064,1156.000,972.849
1065,795.000,816.690
1066,648.000,640.229
1067,1307.000,1081.884
1068,677.000,740.815
1069,1477.000,1306.807
1070,684.000,774.426
1071,1076.000,1083.636
1072,1349.000,1582.268
1073,1358.000,857.844
1074,711.000,816.919
1075,1136.000,1170.367
1076,1065.000,789.683
1077,1439.000,1333.809
1078,1128.000,682.363
1079,950.000,1091.709
1080,841.000,972.882
1081,1502.000,1279.378
1082,784.000,754.711
1083,1078.000,1213.182
1084,1588.000,1272.568
1085,818.000,871.587
1086,998.000,974.832
1087,918.000,764.259
1088,1573.000,1624.805
1089,1195.000,1311.849
1090,1104.000,1117.169
1091,1032.000,900.078
1092,1396.000,1463.799
1093,940.000,925.819
1094,897.000,838.352
1095,792.000,991.724
1096,1718.000,918.704
1097,1008.000,987.198
1098,1066.000,1029.030
1099,995.000,893.980
1100,1121.000,1172.872
1101,1028.000,961.260
1102,1191.000,1590.520
1103,1162.000,1061.924
1104,1199.000,1157.903
1105,1547.000,1576.555
1106,1123.000,1154.645
1107,739.000,817.076
1108,1136.000,1329.216
1109,1073.000,1065.237
1110,866.000,1191.903
1111,1056.000,1120.587
1112,1149.000,1068.738
1113,1600.000,881.182
1114,1328.000,1437.001
1115,1915.000,1352.636
1116,1473.000,1644.834
1117,1149.000,1185.510
1118,876.000,862.328
1119,875.000,996.567
1120,1387.000,1339.117
1121,1548.000,1580.742
1122,560.000,810.291
1123,1323.000,1173.698
1124,1494.000,1561.677
1125,916.000,867.108
1126,1364.000,1453.407
1127,1081.000,1138.723
1128,1221.000,799.822
1129,1093.000,1127.960
1130,851.000,791.022
1131,1129.000,955.659
1132,1110.000,1121.646
1133,1371.000,1375.716
1134,625.000,687.492
1135,810.000,764.334
1136,982.000,1021.512
1137,767.000,811.035
1138,845.000,900.684
1139,1323.000,1130.381
1140,1172.000,1063.246
1141,1349.000,1087.646
1142,500.000,650.628
1143,1094.000,1117.477
1144,1179.000,1197.369
1145,793.000,853.326
1146,1103.000,777.606
1147,846.000,981.280
1148,1268.000,875.948
1149,554.000,711.790
1150,877.000,1003.477
1151,940.000,850.994
1152,920.000,1015.660
1153,1643.000,1731.679
1154,1096.000,1260.400
1155,1647.000,1629.982
1156,1258.000,1291.926
1157,904.000,1029.605
1158,1456.000,1330.552
1159,905.000,804.763
1160,1064.000,1051.825
1161,815.000,892.197
1162,954.000,1134.123
1163,875.000,849.820
1164,839.000,953.570
1165,1274.000,1063.030
1166,898.000,1026.113
1167,1528.000,1642.827
1168,1030.000,1091.056
1169,697.000,873.248
1170,1003.000,1054.036
1171,822.000,1001.447
1172,795.000,816.800
1173,605.000,724.356
1174,926.000,963.252
1175,1025.000,984.079
1176,1018.000,984.539
1177,952.000,807.761
1178,1041.000,987.019
1179,551.000,662.882
1180,1440.000,1406.015
1181,1567.000,1375.600
1182,798.000,979.134
1183,914.000,964.322
1184,892.000,1094.819
1185,1290.000,1513.111
1186,1042.000,1028.019
1187,838.000,911.946
1188,673.000,868.517
1189,1181.000,1292.974
1190,678.000,779.524
1191,1545.000,1408.577
1192,1529.000,1685.184
1193,1061.000,830.259
1194,1266.000,1328.871
1195,696.000,831.468
1196,1117.000,967.610
1197,1162.000,1089.041
1198,1239.000,594.532
1199,1169.000,1102.761
1200,607.000,682.299
1201,931.000,1008.090
1202,670.000,677.231
1203,1439.000,1475.008
1204,684.000,742.712
1205,796.000,878.480
1206,1099.000,1150.462
1207,824.000,911.597
1208,1013.000,1169.731
1209,1268.000,1208.943
1210,1394.000,1268.922
1211,1111.000,1143.198
1212,1452.000,927.203
1213,1361.000,1301.624
1214,1395.000,1450.306
1215,964.000,963.807
1216,919.000,971.933
1217,1427.000,696.799
1218,1656.000,1353.208
1219,921.000,922.644
1220,708.000,719.425
1221,487.000,616.515
1222,1129.000,1164.725
1223,1537.000,1494.794
1224,1200.000,1136.274
1225,727.000,867.025
1226,824.000,835.274
1227,1350.000,1594.297
1228,838.000,768.024
1229,1412.000,931.118
1230,1109.000,1166.138
1231,1114.000,1242.437
1232,1063.000,1081.821
1233,1190.000,946.969
1234,737.000,765.329
1235,1851.000,1534.162
1236,1495.000,837.406
1237,784.000,847.594
1238,1085.000,1047.566
1239,744.000,890.116
1240,979.000,1006.027
